date,signals_generated,signals_executed,trades_closed,portfolio_value,cash,num_positions
2026-02-10,2,2,5,10085.08,11916.82,2
2026-02-11,44,5,2,10097.73,2890.85,5
2026-02-12,3,3,5,9911.55,10366.0,3
2026-02-13,26,5,3,9922.12,4392.0,5
2026-02-17,0,0,5,9924.29,9924.29,0
2026-02-18,18,5,0,9922.76,5964.59,5
2026-02-19,20,4,4,10021.81,3890.18,5
2026-02-20,6,3,3,10026.18,9943.09,5
2026-02-23,47,3,3,10064.3,7766.0,5
2026-02-24,6,2,2,10083.77,10100.78,5
2026-02-25,13,4,4,10054.73,3377.08,5
2026-02-26,18,4,4,10108.03,3203.84,5
2026-02-27,11,4,4,10063.3,12286.21,5
2026-03-02,21,5,5,10043.93,2286.03,5
2026-03-03,0,0,5,9751.12,9751.12,0
2026-03-04,10,5,0,9749.43,5441.35,5
2026-03-05,19,5,5,9707.68,1649.53,5
2026-03-06,8,5,5,9502.81,13497.87,5
