ticker,side,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_reason
PLTR,Long,2026-02-12,2026-02-13,129.16,131.38,8,18.56,Residual Reversion
SBAC,Short,2026-02-12,2026-02-13,199.25,200.81,-3,-5.25,Residual Reversion
TJX,Short,2026-02-12,2026-02-13,154.15,154.49,-6,-1.94,Residual Reversion
ADP,Long,2026-02-11,2026-02-12,217.61,211.29,7,-43.62,ATR Stop
AJG,Long,2026-02-11,2026-02-12,205.35,195.06,7,-68.9,ATR Stop
ADBE,Long,2026-02-11,2026-02-12,257.21,262.45,5,27.11,Residual Reversion
ADSK,Long,2026-02-11,2026-02-12,232.64,223.36,6,-57.93,ATR Stop
AIZ,Long,2026-02-11,2026-02-12,216.05,209.96,7,-43.68,ATR Stop
DDOG,Short,2026-02-10,2026-02-11,129.64,127.36,-7,17.04,Residual Reversion
AFL,Short,2026-02-10,2026-02-11,115.86,116.27,-7,-3.14,Residual Reversion
IT,Short,2026-02-09,2026-02-10,159.72,159.92,-6,-1.16,Residual Reversion
ACGL,Long,2026-02-09,2026-02-10,96.08,97.83,14,24.16,Residual Reversion
AIZ,Long,2026-02-09,2026-02-10,235.37,236.41,6,6.03,Residual Reversion
GL,Long,2026-02-09,2026-02-10,141.45,141.92,10,4.57,Residual Reversion
AFL,Long,2026-02-09,2026-02-10,113.22,115.86,12,31.66,Residual Reversion
BSX,Long,2026-02-06,2026-02-09,76.29,74.11,17,-37.51,ATR Stop
COIN,Short,2026-02-06,2026-02-09,165.09,167.28,-6,-12.36,ATR Stop
CNC,Long,2026-02-06,2026-02-09,38.47,38.03,32,-13.87,ATR Stop
CEG,Short,2026-02-06,2026-02-09,261.37,272.2,-3,-36.11,ATR Stop
CSGP,Long,2026-02-06,2026-02-09,50.29,50.95,27,17.51,Residual Reversion
AMCR,Short,2026-02-04,2026-02-06,48.55,48.18,-18,6.7,Residual Reversion
ABBV,Long,2026-02-04,2026-02-05,217.15,218.98,7,12.84,Residual Reversion
AMZN,Long,2026-02-04,2026-02-05,233.04,226.77,6,-39.97,ATR Stop
AMGN,Short,2026-02-04,2026-02-05,366.13,367.87,-2,-4.17,Residual Reversion
AES,Long,2026-02-04,2026-02-05,15.75,15.59,82,-13.99,Residual Reversion
VLO,Short,2026-02-03,2026-02-04,192.23,197.45,-5,-27.31,Residual Reversion
AES,Short,2026-02-03,2026-02-04,16.09,15.75,-55,18.08,Residual Reversion
MPC,Short,2026-02-03,2026-02-04,187.54,193.57,-5,-33.04,ATR Stop
BALL,Short,2026-02-03,2026-02-04,61.76,63.13,-14,-19.79,ATR Stop
APH,Short,2026-01-27,2026-02-02,166.22,144.96,-6,119.13,Time
GEN,Long,2026-01-29,2026-01-30,23.9,23.99,57,4.34,Residual Reversion
GDDY,Long,2026-01-29,2026-01-30,99.26,100.5,14,16.69,Residual Reversion
ADSK,Long,2026-01-29,2026-01-30,255.73,252.82,5,-15.34,Residual Reversion
CDNS,Long,2026-01-29,2026-01-30,302.73,296.3,4,-28.26,Residual Reversion
AMGN,Long,2026-01-28,2026-01-29,342.28844522094727,342.871414440918,29,49.016411327224,Residual Reversion
AWK,Long,2026-01-28,2026-01-29,127.07541305236816,128.9742,10,14.075424520545214,Residual Reversion
ADI,Short,2026-01-28,2026-01-29,317.56147500000003,318.76375220947267,-2,-8.78033635417869,Residual Reversion
CLX,Long,2026-01-28,2026-01-29,108.82176305236815,109.67805694885254,13,14.544264209621709,Residual Reversion
FDS,Long,2026-01-27,2026-01-28,268.71373566284177,269.80601335449217,4,13.135314348714104,Residual Reversion
AKAM,Long,2026-01-23,2026-01-28,95.0990178314209,102.07957847442628,13,13.287164909769432,Time
BF-B,Long,2026-01-27,2026-01-28,26.775354457855222,26.304737466049193,48,12.73573560015444,Residual Reversion
DLTR,Long,2026-01-27,2026-01-28,121.8643643371582,118.15715568210344,10,12.651903821596584,ATR Stop
BLDR,Long,2026-01-26,2026-01-27,119.21384044189452,117.26654291534425,10,12.627764349732436,Residual Reversion
BXP,Long,2026-01-26,2026-01-27,64.78295064239502,65.20695722045899,20,13.539872216176644,Residual Reversion
CMG,Long,2026-01-26,2026-01-27,39.72794522094726,39.64207152557373,32,12.808639435168,Residual Reversion
MPC,Long,2026-01-26,2026-01-27,172.57450128479005,171.7556352874756,71,361.7459098088427,Residual Reversion
